Size	Side	Results
big	left	179
big	left	331
big	left	0
big	left	-4
big	left	16
big	left	-5
big	left	165
big	left	136
big	left	369
big	left	444
big	left	224
big	left	260
big	left	425
big	left	430
big	left	412
big	left	157
big	left	192
big	left	229
big	left	7
big	left	220
big	left	421
big	left	0
big	left	-444
big	left	313
big	left	402
big	left	317
big	left	-225
big	left	-4
big	left	192
big	left	3
big	left	444
big	left	332
big	left	151
big	left	297
big	left	-9
big	left	392
big	left	-16
big	left	266
big	left	235
big	left	438
big	left	441
big	left	274
big	left	217
big	left	13
big	left	248
big	left	444
big	left	418
big	left	220
big	left	-252
big	left	-287
big	right	212
big	right	111
big	right	199
big	right	236
big	right	335
big	right	-16
big	right	-12
big	right	307
big	right	324
big	right	63
big	right	284
big	right	25
big	right	219
big	right	444
big	right	444
big	right	410
big	right	-5
big	right	234
big	right	55
big	right	-31
big	right	435
big	right	232
big	right	207
big	right	0
big	right	418
big	right	187
big	right	288
big	right	14
big	right	444
big	right	229
big	right	11
big	right	6
big	right	410
big	right	417
big	right	231
big	right	218
big	right	206
big	right	390
big	right	8
big	right	16
big	right	100
big	right	298
big	right	302
big	right	400
big	right	162
big	right	191
big	right	33
big	right	223
big	right	-269
big	right	295
small	left	12
small	left	-36
small	left	-247
small	left	233
small	left	270
small	left	93
small	left	153
small	left	77
small	left	-5
small	left	187
small	left	0
small	left	8
small	left	238
small	left	-161
small	left	-3
small	left	-191
small	left	233
small	left	142
small	left	158
small	left	-278
small	left	-251
small	left	168
small	left	8
small	left	251
small	left	145
small	left	-16
small	left	-2
small	left	151
small	left	-239
small	left	-203
small	left	180
small	left	231
small	left	-28
small	left	0
small	left	278
small	left	-2
small	left	-127
small	left	172
small	left	0
small	left	263
small	left	170
small	left	126
small	left	213
small	left	196
small	left	252
small	left	122
small	left	-7
small	left	-2
small	left	233
small	left	-15
small	right	141
small	right	194
small	right	132
small	right	10
small	right	266
small	right	8
small	right	262
small	right	164
small	right	-224
small	right	209
small	right	-90
small	right	147
small	right	-21
small	right	196
small	right	125
small	right	88
small	right	105
small	right	-213
small	right	272
small	right	49
small	right	104
small	right	-132
small	right	-8
small	right	-123
small	right	0
small	right	-5
small	right	18
small	right	-9
small	right	248
small	right	169
small	right	0
small	right	198
small	right	-230
small	right	102
small	right	-9
small	right	212
small	right	264
small	right	-11
small	right	3
small	right	-17
small	right	-10
small	right	-3
small	right	213
small	right	79
small	right	2
small	right	-2
small	right	255
small	right	169
small	right	110
small	right	244
